id,module,name,path,route,evidence_level,evidence_ref,status,notes
API-N-0331,admin/structure,app-only,app-only,/api/admin/structure/merchants,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0205; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0332,admin/structure,app-only,app-only,/api/admin/structure/my-profile,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0206; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0333,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0178; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0334,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/add,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0179; method=post; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0335,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/delete/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0180; method=delete; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0336,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/detail/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0181; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0337,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/list,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0182; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0338,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/set-active/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0183; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0339,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/set-hidden/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0184; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0340,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/update,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0185; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
